"NombreMunicipio","CodigoMunicipio","NombreRegion","CodigoRegion","Ubicación","Año","CausaMortalidad","TipoPoblacionObjetivo","NumeroPoblacionObjetivo","NumeroCasos"
"Abejorral","05002","ORIENTE","7","POINT (-75.427045 5.79145)","2005","Maternas","Nacidos vivos","346","0"
"Abriaquí","05004","OCCIDENTE","6","POINT (-76.064563 6.63197)","2005","Maternas","Nacidos vivos","33","0"
"Alejandría","05021","ORIENTE","7","POINT (-75.141258 6.376923)","2005","Maternas","Nacidos vivos","57","0"
"Amagá","05030","SUROESTE","8","POINT (-75.703216 6.04063)","2005","Maternas","Nacidos vivos","397","0"
"Amalfi","05031","NORDESTE","4","POINT (-75.075028 6.907385)","2005","Maternas","Nacidos vivos","413","0"
"Andes","05034","SUROESTE","8","POINT (-75.877699 5.655629)","2005","Maternas","Nacidos vivos","724","0"
"Angelópolis","05036","SUROESTE","8","POINT (-75.710262 6.111531)","2005","Maternas","Nacidos vivos","79","0"
"Angostura","05038","NORTE","5","POINT (-75.334973 6.885789)","2005","Maternas","Nacidos vivos","208","2"
"Anorí","05040","NORDESTE","4","POINT (-75.145827 7.073577)","2005","Maternas","Nacidos vivos","328","0"
"Anzá","05044","OCCIDENTE","6","POINT (-75.854027 6.303405)","2005","Maternas","Nacidos vivos","130","0"
"Apartadó","05045","URABA","9","POINT (-76.630692 7.887047)","2005","Maternas","Nacidos vivos","3,015","2"
"Arboletes","05051","URABA","9","POINT (-76.427353 8.852936)","2005","Maternas","Nacidos vivos","679","1"
"Argelia","05055","ORIENTE","7","POINT (-75.142821 5.731236)","2005","Maternas","Nacidos vivos","160","0"
"Armenia","05059","OCCIDENTE","6","POINT (-75.787666 6.156497)","2005","Maternas","Nacidos vivos","68","0"
"Barbosa","05079","VALLE DE ABURRA","1","POINT (-75.331286 6.437248)","2005","Maternas","Nacidos vivos","724","0"
"Bello","05088","VALLE DE ABURRA","1","POINT (-75.558281 6.334985)","2005","Maternas","Nacidos vivos","5,479","1"
"Belmira","05086","NORTE","5","POINT (-75.667252 6.606713)","2005","Maternas","Nacidos vivos","120","0"
"Betania","05091","SUROESTE","8","POINT (-75.976261 5.745292)","2005","Maternas","Nacidos vivos","178","0"
"Betulia","05093","SUROESTE","8","POINT (-75.984594 6.113454)","2005","Maternas","Nacidos vivos","366","0"
"Briceño","05107","NORTE","5","POINT (-75.551532 7.110465)","2005","Maternas","Nacidos vivos","198","0"
"Buriticá","05113","OCCIDENTE","6","POINT (-75.907102 6.719872)","2005","Maternas","Nacidos vivos","134","0"
"Cáceres","05120","BAJO CAUCA","2","POINT (-75.347874 7.582281)","2005","Maternas","Nacidos vivos","698","1"
"Caicedo","05125","OCCIDENTE","6","POINT (-75.982545 6.406072)","2005","Maternas","Nacidos vivos","170","0"
"Caldas","05129","VALLE DE ABURRA","1","POINT (-75.635534 6.09199)","2005","Maternas","Nacidos vivos","962","0"
"Campamento","05134","NORTE","5","POINT (-75.29634 6.979113)","2005","Maternas","Nacidos vivos","196","0"
"Cañasgordas","05138","OCCIDENTE","6","POINT (-76.025603 6.749957)","2005","Maternas","Nacidos vivos","259","0"
"Caracolí","05142","MAGDALENA MEDIO","3","POINT (-74.756712 6.410876)","2005","Maternas","Nacidos vivos","91","0"
"Caramanta","05145","SUROESTE","8","POINT (-75.644483 5.548681)","2005","Maternas","Nacidos vivos","111","0"
"Carepa","05147","URABA","9","POINT (-76.655568 7.755937)","2005","Maternas","Nacidos vivos","1,037","0"
"Carolina","05150","NORTE","5","POINT (-75.281494 6.723626)","2005","Maternas","Nacidos vivos","45","0"
"Caucasia","05154","BAJO CAUCA","2","POINT (-75.197397 7.989436)","2005","Maternas","Nacidos vivos","2,270","3"
"Chigorodó","05172","URABA","9","POINT (-76.685044 7.672652)","2005","Maternas","Nacidos vivos","1,619","1"
"Cisneros","05190","NORDESTE","4","POINT (-75.087684 6.538526)","2005","Maternas","Nacidos vivos","186","1"
"Ciudad Bolívar","05101","SUROESTE","8","POINT (-76.020994 5.850015)","2005","Maternas","Nacidos vivos","558","1"
"Cocorná","05197","ORIENTE","7","POINT (-75.185273 6.057769)","2005","Maternas","Nacidos vivos","185","0"
"Concepción","05206","ORIENTE","7","POINT (-75.259425 6.394975)","2005","Maternas","Nacidos vivos","68","0"
"Concordia","05209","SUROESTE","8","POINT (-75.907256 6.046154)","2005","Maternas","Nacidos vivos","391","0"
"Copacabana","05212","VALLE DE ABURRA","1","POINT (-75.508181 6.346097)","2005","Maternas","Nacidos vivos","868","0"
"Dabeiba","05234","OCCIDENTE","6","POINT (-76.266682 7.001567)","2005","Maternas","Nacidos vivos","293","1"
"Donmatías","05237","NORTE","5","POINT (-75.394608 6.486305)","2005","Maternas","Nacidos vivos","369","0"
"Ebéjico","05240","OCCIDENTE","6","POINT (-75.768514 6.326468)","2005","Maternas","Nacidos vivos","208","0"
"El Bagre","05250","BAJO CAUCA","2","POINT (-74.812977 7.60005)","2005","Maternas","Nacidos vivos","1,006","0"
"El Carmen de Viboral","05148","ORIENTE","7","POINT (-75.335351 6.083283)","2005","Maternas","Nacidos vivos","698","0"
"El Peñol","05541","ORIENTE","7","POINT (-75.161743 6.234274)","2005","Maternas","Nacidos vivos","242","0"
"El Retiro","05607","ORIENTE","7","POINT (-75.502683 6.057336)","2005","Maternas","Nacidos vivos","221","1"
"El Santuario","05697","ORIENTE","7","POINT (-75.265676 6.139528)","2005","Maternas","Nacidos vivos","504","0"
"Entrerríos","05264","NORTE","5","POINT (-75.517037 6.567385)","2005","Maternas","Nacidos vivos","169","0"
"Envigado","05266","VALLE DE ABURRA","1","POINT (-75.587333 6.16996)","2005","Maternas","Nacidos vivos","1,629","2"
"Fredonia","05282","SUROESTE","8","POINT (-75.671749 5.927145)","2005","Maternas","Nacidos vivos","291","0"
"Frontino","05284","OCCIDENTE","6","POINT (-76.128568 6.77975)","2005","Maternas","Nacidos vivos","340","1"
"Giraldo","05306","OCCIDENTE","6","POINT (-75.953365 6.680421)","2005","Maternas","Nacidos vivos","62","0"
"Girardota","05308","VALLE DE ABURRA","1","POINT (-75.446101 6.377536)","2005","Maternas","Nacidos vivos","504","0"
"Gómez Plata","05310","NORTE","5","POINT (-75.219375 6.681523)","2005","Maternas","Nacidos vivos","163","0"
"Granada","05313","ORIENTE","7","POINT (-75.18443 6.14432)","2005","Maternas","Nacidos vivos","128","0"
"Guadalupe","05315","NORTE","5","POINT (-75.240458 6.814987)","2005","Maternas","Nacidos vivos","103","0"
"Guarne","05318","ORIENTE","7","POINT (-75.442619 6.279958)","2005","Maternas","Nacidos vivos","465","0"
"Guatapé","05321","ORIENTE","7","POINT (-75.161723 6.234276)","2005","Maternas","Nacidos vivos","89","0"
"Heliconia","05347","OCCIDENTE","6","POINT (-75.733349 6.207128)","2005","Maternas","Nacidos vivos","102","0"
"Hispania","05353","SUROESTE","8","POINT (-75.907416 5.799621)","2005","Maternas","Nacidos vivos","77","0"
"Itagüí","05360","VALLE DE ABURRA","1","POINT (-75.609585 6.172619)","2005","Maternas","Nacidos vivos","3,195","2"
"Ituango","05361","NORTE","5","POINT (-75.764081 7.172568)","2005","Maternas","Nacidos vivos","465","1"
"Jardín","05364","SUROESTE","8","POINT (-75.819483 5.599097)","2005","Maternas","Nacidos vivos","267","0"
"Jericó","05368","SUROESTE","8","POINT (-75.786118 5.791557)","2005","Maternas","Nacidos vivos","138","0"
"La Ceja","05376","ORIENTE","7","POINT (-75.431681 6.030682)","2005","Maternas","Nacidos vivos","852","1"
"La Estrella","05380","VALLE DE ABURRA","1","POINT (-75.643382 6.157644)","2005","Maternas","Nacidos vivos","635","0"
"La Pintada","05390","SUROESTE","8","POINT (-75.606525 5.747143)","2005","Maternas","Nacidos vivos","141","0"
"La Unión","05400","ORIENTE","7","POINT (-75.361241 5.973832)","2005","Maternas","Nacidos vivos","334","0"
"Liborina","05411","OCCIDENTE","6","POINT (-75.811313 6.67786)","2005","Maternas","Nacidos vivos","188","0"
"Maceo","05425","MAGDALENA MEDIO","3","POINT (-74.673429 6.530691)","2005","Maternas","Nacidos vivos","145","0"
"Marinilla","05440","ORIENTE","7","POINT (-75.334772 6.173718)","2005","Maternas","Nacidos vivos","759","0"
"Medellín","05001","VALLE DE ABURRA","1","POINT (-75.564739 6.253104)","2005","Maternas","Nacidos vivos","33,515","15"
"Montebello","05467","SUROESTE","8","POINT (-75.524621 5.945694)","2005","Maternas","Nacidos vivos","124","0"
"Murindó","05475","URABA","9","POINT (-76.82131 6.981328)","2005","Maternas","Nacidos vivos","38","0"
"Mutatá","05480","URABA","9","POINT (-76.436928 7.245319)","2005","Maternas","Nacidos vivos","175","0"
"Nariño","05483","ORIENTE","7","POINT (-75.176323 5.609727)","2005","Maternas","Nacidos vivos","242","0"
"Nechí","05495","BAJO CAUCA","2","POINT (-74.775013 8.095003)","2005","Maternas","Nacidos vivos","479","4"
"Necoclí","05490","URABA","9","POINT (-76.786829 8.424299)","2005","Maternas","Nacidos vivos","859","2"
"Olaya","05501","OCCIDENTE","6","POINT (-75.81238 6.628142)","2005","Maternas","Nacidos vivos","42","0"
"Peque","05543","OCCIDENTE","6","POINT (-75.908927 7.021696)","2005","Maternas","Nacidos vivos","120","0"
"Pueblorrico","05576","SUROESTE","8","POINT (-75.841914 5.790844)","2005","Maternas","Nacidos vivos","149","0"
"Puerto Berrío","05579","MAGDALENA MEDIO","3","POINT (-74.402022 6.490753)","2005","Maternas","Nacidos vivos","1,076","1"
"Puerto Nare","05585","MAGDALENA MEDIO","3","POINT (-74.581675 6.187952)","2005","Maternas","Nacidos vivos","328","0"
"Puerto Triunfo","05591","MAGDALENA MEDIO","3","POINT (-74.640079 5.87335)","2005","Maternas","Nacidos vivos","360","0"
"Remedios","05604","NORDESTE","4","POINT (-74.69368 7.02808)","2005","Maternas","Nacidos vivos","450","1"
"Rionegro","05615","ORIENTE","7","POINT (-75.373872 6.153548)","2005","Maternas","Nacidos vivos","1,626","1"
"Sabanalarga","05628","OCCIDENTE","6","POINT (-75.818245 6.850482)","2005","Maternas","Nacidos vivos","163","0"
"Sabaneta","05631","VALLE DE ABURRA","1","POINT (-75.615491 6.15156)","2005","Maternas","Nacidos vivos","399","0"
"Salgar","05642","SUROESTE","8","POINT (-75.979184 5.963438)","2005","Maternas","Nacidos vivos","343","1"
"San Andrés de Cuerquia","05647","NORTE","5","POINT (-75.67649 6.914739)","2005","Maternas","Nacidos vivos","152","0"
"San Carlos","05649","ORIENTE","7","POINT (-74.992086 6.188726)","2005","Maternas","Nacidos vivos","188","1"
"San Francisco","05652","ORIENTE","7","POINT (-75.102069 5.964854)","2005","Maternas","Nacidos vivos","96","0"
"San Jerónimo","05656","OCCIDENTE","6","POINT (-75.72792 6.442677)","2005","Maternas","Nacidos vivos","182","0"
"San José de La Montaña","05658","NORTE","5","POINT (-75.683472 6.848958)","2005","Maternas","Nacidos vivos","81","0"
"San Juan de Urabá","05659","URABA","9","POINT (-76.524538 8.766496)","2005","Maternas","Nacidos vivos","388","0"
"San Luis","05660","ORIENTE","7","POINT (-74.994436 6.042772)","2005","Maternas","Nacidos vivos","178","0"
"San Pedro de Los Milagros","05664","NORTE","5","POINT (-75.555959 6.461815)","2005","Maternas","Nacidos vivos","469","0"
"San Pedro de Urabá","05665","URABA","9","POINT (-76.382921 8.277916)","2005","Maternas","Nacidos vivos","786","1"
"San Rafael","05667","ORIENTE","7","POINT (-75.028257 6.295426)","2005","Maternas","Nacidos vivos","223","1"
"San Roque","05670","NORDESTE","4","POINT (-75.019485 6.485044)","2005","Maternas","Nacidos vivos","326","0"
